,Airport_score,url
139,0.15,https://teleport.org/cities/lviv/
140,0.39,https://teleport.org/cities/lyon/
141,0.13,https://teleport.org/cities/madison/
142,0.69,https://teleport.org/cities/madrid/
143,0.52,https://teleport.org/cities/malaga/
144,0.57,https://teleport.org/cities/malmo/
145,0.12,https://teleport.org/cities/managua/
146,0.69,https://teleport.org/cities/manchester/
147,0.39,https://teleport.org/cities/manila/
148,0.41,https://teleport.org/cities/marseille/
149,0.19,https://teleport.org/cities/medellin/
150,0.30,https://teleport.org/cities/melbourne/
151,0.21,https://teleport.org/cities/memphis/
152,0.45,https://teleport.org/cities/mexico-city/
153,0.72,https://teleport.org/cities/miami/
154,0.71,https://teleport.org/cities/milan/
155,0.20,https://teleport.org/cities/milwaukee/
156,0.58,https://teleport.org/cities/minneapolis-saint-paul/
157,0.25,https://teleport.org/cities/minsk/
158,0.14,https://teleport.org/cities/montevideo/
159,0.44,https://teleport.org/cities/montreal/
160,1.00,https://teleport.org/cities/moscow/
161,0.40,https://teleport.org/cities/mumbai/
162,0.81,https://teleport.org/cities/munich/
163,0.36,https://teleport.org/cities/nairobi/
164,0.30,https://teleport.org/cities/nantes/
165,0.28,https://teleport.org/cities/naples/
166,0.27,https://teleport.org/cities/nashville/
167,0.24,https://teleport.org/cities/new-orleans/
168,0.92,https://teleport.org/cities/new-york/
169,0.43,https://teleport.org/cities/nice/
170,0.32,https://teleport.org/cities/nicosia/
171,0.17,https://teleport.org/cities/oklahoma-city/
172,0.16,https://teleport.org/cities/omaha/
173,0.64,https://teleport.org/cities/orlando/
174,0.36,https://teleport.org/cities/osaka/
175,0.55,https://teleport.org/cities/oslo/
176,0.19,https://teleport.org/cities/ottawa/
177,0.10,https://teleport.org/cities/oulu/
178,1.00,https://teleport.org/cities/oxford/
179,No hay dato,https://teleport.org/cities/palo-alto/
180,0.40,https://teleport.org/cities/panama/
181,1.00,https://teleport.org/cities/paris/
182,0.23,https://teleport.org/cities/perth/
183,0.55,https://teleport.org/cities/philadelphia/
184,0.15,https://teleport.org/cities/phnom-penh/
185,0.55,https://teleport.org/cities/phoenix/
186,0.21,https://teleport.org/cities/phuket/
187,0.23,https://teleport.org/cities/pittsburgh/
188,0.31,https://teleport.org/cities/portland-or/
189,0.32,https://teleport.org/cities/porto/
190,0.19,https://teleport.org/cities/porto-alegre/
191,0.45,https://teleport.org/cities/prague/
192,0.48,https://teleport.org/cities/providence/
193,0.16,https://teleport.org/cities/quebec/
194,0.18,https://teleport.org/cities/quito/
195,0.24,https://teleport.org/cities/raleigh/
196,0.23,https://teleport.org/cities/reykjavik/
197,0.16,https://teleport.org/cities/richmond/
198,0.35,https://teleport.org/cities/riga/
199,0.30,https://teleport.org/cities/rio-de-janeiro/
200,0.39,https://teleport.org/cities/riyadh/
201,0.16,https://teleport.org/cities/rochester/
