,Gun_related_deaths,Pisa_ranking,Cities,Homosexuality_acceptance,VAT_Sales_Tax,Sport_venues,GDP_per_capita,Growth_percentage,Unemployment_percentage,Average_Annual_percent_sunshine,Housing,Culture,Travel_connectivity
120,0,14,Krakow,42.0,0.23,12,25105.4,-0.01,0.1,217.0,700,190,0.295
121,1,38,Kuala-Lumpur,9.0,0.06,253,24654.19,0.1,0.03,12.5,606,827,0.355
122,0,3,Kyoto,54.0,0.08,32,37389.79,-0.02,0.03,0.0,886,349,0.6799999999999999
123,33,0,Lagos,1.0,0.05,17,6031.42,0.13,0.24,312.0,723,118,0.175
124,1,0,La-Paz,43.0,0.13,38,6220.93,0.07,0.08,12.5,426,97,0.13
125,1,17,Las-Palmas-de-Gran-Canaria,88.0,0.21,11,33711.41,0.03,0.2,65.0,736,66,0.43
126,14,16,Las-Vegas,93.13,0.08,41,54596.65,0.17,0.05,211.0,1026,466,0.35
127,3,11,Lausanne,81.79,0.08,13,58087.21,0.06,0.03,0.0,1833,101,0.6499999999999999
128,0,17,Leeds,76.0,0.2,32,39510.94,0.02,0.05,91.0,1106,133,0.6599999999999999
129,1,9,Leipzig,87.0,0.19,18,45888.42,0.0,0.04,290.0,746,216,0.43500000000000005
130,3,19,Lille,77.0,0.2,84,40374.53,0.0,0.1,12.9,950,139,0.6
131,6,47,Lima,69.04,0.18,103,11817.04,0.09,0.06,12.5,610,278,0.2
132,2,18,Lisbon,95.36,0.23,78,26974.63,0.0,0.11,218.0,1066,265,0.42
133,0,17,Liverpool,76.0,0.2,23,39510.94,0.01,0.05,89.0,923,156,0.665
134,3,9,Ljubljana,70.9,0.22,12,29657.78,0.04,0.12,200.0,743,143,0.23
135,0,17,London,76.0,0.2,265,39510.94,0.05,0.05,241.4,2533,726,0.94
136,8,24,Los-Angeles,93.19,0.09,222,54596.65,0.03,0.05,147.0,2266,779,0.395
137,14,16,Louisville,71.09,0.06,43,54596.65,0.03,0.05,93.0,933,257,0.14500000000000002
138,1,25,Luxembourg,89.78,0.17,10,92048.55,0.09,0.07,12.9,2100,61,0.45499999999999996
139,0,0,Lviv,71.98,0.2,31,8668.33,0.0,0.1,31.0,320,145,0.375
140,3,19,Lyon,77.0,0.2,124,40374.53,0.02,0.1,12.8,1180,174,0.6000000000000001
141,10,24,Madison,82.97,0.06,34,54596.65,0.05,0.05,90.0,1300,282,0.12
142,1,22,Madrid,88.0,0.21,124,33711.41,0.02,0.2,94.0,1190,385,0.585
143,1,17,Malaga,88.0,0.21,33,33711.41,0.04,0.2,107.0,780,151,0.435
144,1,13,Malmo,93.59,0.25,30,45986.38,0.09,0.07,0.0,1023,196,0.48
145,5,0,Managua,83.04,0.15,17,4736.48,0.02,0.06,252.0,396,79,0.06
146,0,17,Manchester,76.0,0.2,81,39510.94,0.04,0.05,13.0,1223,237,0.6399999999999999
